aic,Acc,Recall,precision,f1,variables,types
26.919011889093373,0.9245283018867925,0.0,0.0,0.0,['X13'],rp
17.88594761554029,0.9056603773584906,0.0,0.0,0.0,"['X13', 'X33']",kd
10.666666666666666,0.8867924528301887,0.0,0.0,0.0,"['X18', 'X25', 'X13']",classification
11.224060718612652,0.9245283018867925,0.0,0.0,0.0,['X38'],honest
23.971313465865396,0.9056603773584906,0.0,0.0,0.0,"['X14', 'X19']",rp
18.46153846153846,0.9245283018867925,0.3333333333333333,0.3333333333333333,0.3333333333333333,"['X1', 'X17', 'X19']",kd
10.666666666666666,0.9056603773584906,0.0,0.0,0.0,"['X21', 'X13']",classification
10.0,0.9056603773584906,0.0,0.0,0.0,"['X34', 'X23']",honest
14.0857942247268,0.8867924528301887,0.0,0.0,0.0,"['X19', 'X9', 'X23']",rp
17.88594761554029,0.9056603773584906,0.0,0.0,0.0,"['X19', 'X30']",kd
18.46153846153846,0.9622641509433962,0.3333333333333333,1.0,0.5,['X2'],classification
5.714285714285714,0.9245283018867925,0.0,0.0,0.0,['X48'],honest
17.209505944546684,0.8867924528301887,0.0,0.0,0.0,"['X43', 'X45', 'X4']",rp
20.376172611213352,0.8867924528301887,0.0,0.0,0.0,"['X18', 'X11', 'X29']",kd
10.666666666666666,0.9056603773584906,0.0,0.0,0.0,"['X45', 'X38']",classification
5.714285714285714,0.9245283018867925,0.0,0.0,0.0,['X43'],honest
26.919011889093373,0.9056603773584906,0.0,0.0,0.0,"['X14', 'X5']",rp
23.995220230260973,0.8867924528301887,0.0,0.0,0.0,"['X39', 'X37', 'X15']",kd
10.666666666666666,0.8867924528301887,0.0,0.0,0.0,"['X9', 'X39', 'X21']",classification
5.714285714285714,0.9245283018867925,0.0,0.0,0.0,['X9'],honest
